company,account,amount,date,units,fund,,,,,,,,,A Share,,Units of Bod,Value of Exchange,,Total Mid A Units,,GN_PY_UNTS,GN_NW_UNTS,GN_TR_UNTS,GN_DT_UNTS,
VIR,5660316,0,3/11/2011,-297.6548,gn,,,,,,,,,,,1040.257497,-5045.24886,,744.137,,744.137,0,0,0,
VIR,5649913,0,3/11/2011,-44.6524,gn,,,,,,,,,,,156.053233,-756.85818,,111.631,,115.772,-4.141,0,0,
VIR,5420805,0,3/11/2011,-33.1196,gn,,,,,,,,,,,115.7478804,-561.37722,,82.799,,82.799,0,0,0,
VIR,5682298,0,3/11/2011,-49.5712,gn,,,,,,,,,,,173.2436784,-840.23184,,123.928,,123.928,0,0,0,
VIR,5676195,0,3/11/2011,-200.044,gn,,,,,,,,,,,699.1228454,-3390.7458,,463.204,,464.999,-1.795,0,0,
VIR,5608874,0,3/11/2011,-8633.0448,gn,,,,,,,,,,,30171.15657,-146330.1094,,21582.612,,21582.612,0,0,0,
VIR,5809358,0,3/11/2011,-6515.5032,gn,,,,,,,,,,,22770.67613,-110437.7792,,16288.758,,16288.758,0,0,0,
VIR,5609852,0,3/11/2011,-24.4648,gn,,,,,,,,,,,85.50069278,-414.67836,,61.162,,61.162,0,0,0,
VIR,5610759,0,3/11/2011,-708.5164,gn,,,,,,,,,,,2476.155254,-12009.35298,,1771.291,,1771.291,0,0,0,
VIR,5566028,0,3/11/2011,-1364.001,gn,,,,,,,,,,,4766.972567,-23119.81695,,3407.523,,3404.712,2.811,0,0,
VIR,5809362,0,3/11/2011,-4636.9024,gn,,,,,,,,,,,16205.25684,-78595.49568,,11592.256,,11592.256,0,0,0,
VIR,5566863,0,3/11/2011,-35.6116,gn,,,,,,,,,,,124.4570351,-603.61662,,89.029,,89.029,0,0,0,
VIR,5800489,0,3/11/2011,-533.7652,gn,,,,,,,,,,,1865.426833,-9047.32014,,1334.413,,1194.514,139.899,0,0,
VIR,5790364,0,3/11/2011,-24.5948,gn,,,,,,,,,,,85.95502268,-416.88186,,61.487,,61.487,0,0,0,
VIR,5809234,0,3/11/2011,-296.704,gn,,,,,,,,,,,1036.934598,-5029.1328,,741.76,,752.439,-10.679,0,0,
VIR,5809239,0,3/11/2011,-255.5492,gn,,,,,,,,,,,893.1049361,-4331.55894,,638.873,,645.141,-6.268,0,0,
VIR,5809164,0,3/11/2011,-12.8856,gn,,,,,,,,,,,45.03317938,-218.41092,,32.214,,27.144,5.07,0,0,
VIR,5608196,0,3/11/2011,-292.13,gn,,,,,,,,,,,1020.949175,-4951.6035,,714.89,,714.89,0,0,0,
VIR,5565550,0,3/11/2011,-37.122,gn,,,,,,,,,,,129.7356495,-629.2179,,90.761,,90.761,0,0,0,
VIR,5560496,0,3/11/2011,-198.417,gn,,,,,,,,,,,693.436732,-3363.16815,,478.542,,484.694,-6.152,0,0,
VIR,5434554,0,3/11/2011,-33.1884,gn,,,,,,,,,,,115.9883258,-562.54338,,82.971,,82.971,0,0,0,
VIR,5434828,0,3/11/2011,-25.6752,gn,,,,,,,,,,,89.73085361,-435.19464,,64.188,,64.188,0,0,0,
VIR,5680439,0,3/11/2011,-1501.8096,gn,,,,,,,,,,,5248.592313,-25455.67272,,3754.524,,3754.524,0,0,0,
VIR,5560150,0,3/11/2011,-54.741,gn,,,,,,,,,,,191.3113299,-927.85995,,130.01,,130.01,0,0,0,
VIR,5558523,0,3/11/2011,-138.0752,gn,,,,,,,,,,,482.5514722,-2340.37464,,345.188,,345.188,0,0,0,
VIR,5560492,0,3/11/2011,-48.993,gn,,,,,,,,,,,171.2229588,-830.43135,,116.94,,116.94,0,0,0,
VIR,5800157,0,3/11/2011,-34.2784,gn,,,,,,,,,,,119.7977072,-581.01888,,85.696,,74.686,11.01,0,0,
VIR,5789579,0,3/11/2011,-485.1976,gn,,,,,,,,,,,1695.690581,-8224.09932,,1212.994,,1212.994,0,0,0,
VIR,5788136,0,3/11/2011,-216.8324,gn,,,,,,,,,,,757.7957072,-3675.30918,,542.081,,542.081,0,0,0,
VIR,5567497,0,3/11/2011,-307.006,gn,,,,,,,,,,,1072.938495,-5203.7517,,739.457,,725.366,14.091,0,0,
VIR,5626663,0,3/11/2011,-1315.8176,gn,,,,,,,,,,,4598.579035,-22303.10832,,3289.544,,3289.544,0,0,0,
VIR,5566866,0,3/11/2011,-247.1392,gn,,,,,,,,,,,863.7132866,-4189.00944,,617.848,,617.848,0,0,0,
VIR,5805258,0,3/11/2011,-235.8356,gn,,,,,,,,,,,824.2089526,-3997.41342,,589.589,,589.589,0,0,0,
VIR,5557849,0,3/11/2011,-599.5468,gn,,,,,,,,,,,2095.323353,-10162.31826,,1498.867,,1498.867,0,0,0,
VIR,5557855,0,3/11/2011,-599.454,gn,,,,,,,,,,,2094.999031,-10160.7453,,1498.635,,1498.635,0,0,0,
VIR,5783760,0,3/11/2011,-51.0708,gn,,,,,,,,,,,178.4845485,-865.65006,,127.677,,127.677,0,0,0,
VIR,5789646,0,3/11/2011,-664.92,gn,,,,,,,,,,,2323.792577,-11270.394,,1662.3,,1662.3,0,0,0,
VIR,5807861,0,3/11/2011,-506.094,gn,,,,,,,,,,,1768.720268,-8578.2933,,1265.235,,1265.235,0,0,0,
VIR,5809388,0,3/11/2011,-72.6412,gn,,,,,,,,,,,253.8697608,-1231.26834,,181.603,,181.603,0,0,0,
VIR,5612302,0,3/11/2011,-179.1604,gn,,,,,,,,,,,626.1378928,-3036.76878,,447.901,,447.901,0,0,0,
VIR,5651723,0,3/11/2011,-25.3844,gn,,,,,,,,,,,88.71455258,-430.26558,,63.461,,63.461,0,0,0,
VIR,5628349,0,3/11/2011,-32.4824,gn,,,,,,,,,,,113.5209649,-550.57668,,81.206,,81.206,0,0,0,
VIR,5560488,0,3/11/2011,-1075.309,gn,,,,,,,,,,,3758.03867,-18226.48755,,2655.769,,1197.364,1458.405,0,0,
